都道府県,市区町村,実数,推定数,推定２（人口按分）
北海道,札幌市,763,1607,1365
北海道,函館市,83,176,155
北海道,釧路市,14,31,43
北海道,旭川市,11,24,56
北海道,小樽市,13,28,36
北海道,苫小牧市,9,19,36
北海道,北見市,9,19,30
北海道,帯広市,6,13,30
北海道,室蘭市,5,10,18
北海道,江別市,4,9,20
北海道,千歳市,3,6,16
北海道,稚内市,8,16,16
北海道,ニセコ町,5,10,7
北海道,北広島市,1,1,9
北海道,滝川市,2,4,9
北海道,白老町,3,6,6
北海道,砂川市,2,4,4
北海道,三笠市,3,6,6
北海道,大樹町,2,4,3
北海道,登別市,2,4,8
北海道,網走市,1,1,6
北海道,七飯町,1,1,4
北海道,新ひだか町,1,1,4
北海道,富良野市,1,1,3
北海道,芽室町,1,1,3
北海道,枝幸町,1,1,3
北海道,江差町,0,0,1
北海道,羅臼町,1,1,1
北海道,由仁町,1,1,1
北海道,上士幌町,1,1,1
北海道,興部町,1,1,1
北海道,岩見沢市,0,0,10
北海道,恵庭市,1,1,10
北海道,石狩市,0,0,7
北海道,北斗市,0,0,6
北海道,音更町,0,0,6
北海道,伊達市,0,0,3
北海道,名寄市,0,0,3
北海道,根室市,0,0,3
北海道,幕別町,0,0,3
北海道,中標津町,0,0,3
北海道,紋別市,0,0,1
北海道,美唄市,0,0,1
北海道,留萌市,0,0,1
北海道,深川市,0,0,1
北海道,遠軽町,0,0,1
北海道,美幌町,0,0,1
北海道,士別市,0,0,1
北海道,釧路町,0,0,1
北海道,余市町,0,0,1
北海道,当別町,0,0,1
北海道,八雲町,0,0,1
北海道,森町,0,0,1
北海道,別海町,0,0,1
北海道,倶知安町,0,0,1
北海道,芦別市,0,0,1
北海道,浦河町,0,0,1
北海道,岩内町,0,0,1
北海道,日高町,0,0,1
北海道,栗山町,0,0,1
北海道,斜里町,0,0,1
北海道,赤平市,0,0,1
北海道,長沼町,0,0,1
北海道,上富良野町,0,0,1
北海道,美瑛町,0,0,1
北海道,東神楽町,0,0,1
北海道,厚岸町,0,0,1
北海道,清水町,0,0,1
北海道,洞爺湖町,1,1,3
北海道,湧別町,0,0,1
北海道,夕張市,0,0,1
北海道,むかわ町,0,0,1
北海道,せたな町,0,0,1
北海道,安平町,0,0,1
北海道,東川町,0,0,1
北海道,白糠町,0,0,1
北海道,南幌町,0,0,1
北海道,弟子屈町,0,0,0
北海道,標茶町,0,0,1
北海道,大空町,0,0,0
北海道,本別町,0,0,0
北海道,松前町,0,0,0
北海道,羽幌町,0,0,0
北海道,広尾町,0,0,0
北海道,鷹栖町,0,0,0
北海道,足寄町,0,0,0
北海道,池田町,0,0,0
北海道,新十津川町,0,0,0
北海道,当麻町,0,0,0
北海道,新得町,0,0,0
北海道,共和町,0,0,0
北海道,士幌町,0,0,0
北海道,浜中町,0,0,0
北海道,長万部町,0,0,0
北海道,奈井江町,0,0,0
北海道,今金町,0,0,0
北海道,新冠町,0,0,0
北海道,鹿追町,0,0,0
北海道,佐呂間町,0,0,0
北海道,平取町,0,0,0
北海道,標津町,0,0,0
北海道,訓子府町,0,0,0
北海道,小清水町,0,0,0
北海道,中富良野町,0,0,0
北海道,津別町,0,0,0
北海道,浦幌町,0,0,0
北海道,えりも町,0,0,0
北海道,上ノ国町,0,0,0
北海道,蘭越町,0,0,0
北海道,厚真町,0,0,0
北海道,美深町,0,0,0
北海道,知内町,0,0,0
北海道,月形町,0,0,0
北海道,木古内町,0,0,0
北海道,雄武町,0,0,0
北海道,様似町,0,0,0
北海道,増毛町,0,0,0
北海道,福島町,0,0,0
北海道,鹿部町,0,0,0
北海道,清里町,0,0,0
北海道,豊富町,0,0,0
北海道,厚沢部町,0,0,0
北海道,上川町,0,0,0
北海道,中札内村,0,0,0
北海道,乙部町,0,0,0
北海道,浜頓別町,0,0,0
北海道,比布町,0,0,0
北海道,和寒町,0,0,0
北海道,歌志内市,0,0,0
北海道,下川町,0,0,0
北海道,仁木町,0,0,0
北海道,上砂川町,0,0,0
北海道,小平町,0,0,0
北海道,新篠津村,0,0,0
北海道,苫前町,0,0,0
北海道,天塩町,0,0,0
北海道,剣淵町,0,0,0
